lat,lon,individual,date
-16.9686092,-57.3826739,Alice,"2015-01-02 02:00:28"
-16.9160053,-57.4820108,Dale,"2015-01-02 02:00:30"
-16.9472222,-57.3681953,Picole,"2015-01-02 02:01:30"
-16.8645897,-57.3933428,Caiman,"2015-01-02 02:01:35"
-16.9686342,-57.3840664,Alice,"2015-01-02 03:00:09"
-16.9110425,-57.4804111,Anderson,"2015-01-02 03:00:13"
-16.8647022,-57.3933972,Caiman,"2015-01-02 03:00:15"
-16.9159922,-57.4820208,Dale,"2015-01-02 03:00:24"
-16.9467911,-57.36823,Picole,"2015-01-02 03:01:13"
-16.9674292,-57.3809917,Alice,"2015-01-02 04:00:03"
-16.9139225,-57.478965,Dale,"2015-01-02 04:00:20"
-16.8645711,-57.3933622,Caiman,"2015-01-02 04:00:24"
-16.91097,-57.4804153,Anderson,"2015-01-02 04:00:27"
-16.9474228,-57.3686789,Picole,"2015-01-02 04:01:29"
-16.8646486,-57.3933958,Caiman,"2015-01-02 05:00:07"
-16.9727261,-57.3895061,Alice,"2015-01-02 05:00:10"
-16.9113161,-57.4807283,Anderson,"2015-01-02 05:00:14"
-16.9144586,-57.4740167,Dale,"2015-01-02 05:00:15"
-16.8820192,-57.4204664,Fera,"2015-01-02 05:00:48"
-16.9511986,-57.3683503,Picole,"2015-01-02 05:01:16"
-16.8831408,-57.4148994,Fera,"2015-01-02 06:00:09"
-16.9203992,-57.4551425,Dale,"2015-01-02 06:00:17"
-16.8646575,-57.3934911,Caiman,"2015-01-02 06:00:29"
-16.9115856,-57.4807636,Anderson,"2015-01-02 06:00:45"
-16.9773347,-57.3883983,Alice,"2015-01-02 06:00:54"
-16.955495,-57.3678461,Picole,"2015-01-02 06:01:25"
-16.9114481,-57.4806011,Anderson,"2015-01-02 07:00:11"
-16.8811431,-57.4110189,Fera,"2015-01-02 07:00:13"
-16.9773522,-57.3885953,Alice,"2015-01-02 07:00:19"
-16.9185742,-57.4462844,Dale,"2015-01-02 07:00:30"
-16.9541014,-57.3689189,Picole,"2015-01-02 07:01:08"
-16.864705,-57.3934403,Caiman,"2015-01-02 07:01:48"
-16.9541819,-57.3688258,Picole,"2015-01-02 08:00:11"
-16.9114697,-57.4806183,Anderson,"2015-01-02 08:00:15"
-16.8646875,-57.3933925,Caiman,"2015-01-02 08:00:20"
-16.9132561,-57.4486069,Dale,"2015-01-02 08:00:30"
-16.9057331,-57.4527639,Dale,"2015-01-02 09:00:12"
-16.8646633,-57.3934481,Caiman,"2015-01-02 09:00:15"
-16.9542114,-57.3688286,Picole,"2015-01-02 09:00:30"
-16.8845356,-57.4045461,Fera,"2015-01-02 09:01:01"
-16.9111778,-57.4805447,Anderson,"2015-01-02 09:01:12"
-16.9528414,-57.3722308,Picole,"2015-01-02 10:00:05"
-16.8992681,-57.4535931,Dale,"2015-01-02 10:00:05"
-16.8841856,-57.4022939,Fera,"2015-01-02 10:00:07"
-16.8646744,-57.3938036,Caiman,"2015-01-02 10:00:14"
-16.9110625,-57.4804881,Anderson,"2015-01-02 10:00:19"
-16.9503658,-57.3764494,Picole,"2015-01-02 11:00:12"
-16.8956892,-57.4527567,Dale,"2015-01-02 11:00:17"
-16.91135,-57.4804628,Anderson,"2015-01-02 11:00:19"
-16.8648194,-57.3936389,Caiman,"2015-01-02 11:00:30"
-16.8947931,-57.4058061,Fera,"2015-01-02 11:00:30"
-16.9844547,-57.3875922,Alice,"2015-01-02 11:01:00"
-16.9112608,-57.4805558,Anderson,"2015-01-02 12:00:13"
-16.8933481,-57.4507389,Dale,"2015-01-02 12:00:30"
-16.8647136,-57.3933994,Caiman,"2015-01-02 12:00:30"
-16.8948447,-57.4060233,Fera,"2015-01-02 12:00:30"
-16.9844617,-57.3875839,Alice,"2015-01-02 12:00:33"
-16.9479983,-57.3806242,Picole,"2015-01-02 12:00:58"
-16.9462853,-57.3837769,Picole,"2015-01-02 13:00:11"
-16.8647033,-57.3934728,Caiman,"2015-01-02 13:00:14"
-16.9113758,-57.4805239,Anderson,"2015-01-02 13:00:14"
-16.8948772,-57.4058994,Fera,"2015-01-02 13:00:23"
-16.9840625,-57.3865767,Alice,"2015-01-02 13:00:54"
-16.9463128,-57.3838458,Picole,"2015-01-02 14:00:13"
-16.8646678,-57.3934653,Caiman,"2015-01-02 14:00:17"
-16.877155,-57.4469978,Dale,"2015-01-02 14:00:30"
-16.8946697,-57.4046694,Fera,"2015-01-02 14:00:30"
-16.9826267,-57.3822733,Alice,"2015-01-02 14:00:48"
-16.9826258,-57.3822861,Alice,"2015-01-02 15:00:09"
-16.9462956,-57.3838461,Picole,"2015-01-02 15:00:13"
-16.8646292,-57.3934144,Caiman,"2015-01-02 15:00:14"
-16.9110669,-57.4805392,Anderson,"2015-01-02 15:00:29"
-16.8946075,-57.4046681,Fera,"2015-01-02 15:00:53"
-16.8762069,-57.4378664,Dale,"2015-01-02 15:01:11"
-16.9826569,-57.3822969,Alice,"2015-01-02 16:00:03"
-16.9114436,-57.4809372,Anderson,"2015-01-02 16:00:05"
-16.8646486,-57.3933958,Caiman,"2015-01-02 16:00:22"
-16.9463139,-57.3838467,Picole,"2015-01-02 16:00:27"
-16.8948642,-57.4060456,Fera,"2015-01-02 16:00:30"
-16.8763217,-57.4379706,Dale,"2015-01-02 16:00:50"
-16.9463175,-57.3838497,Picole,"2015-01-02 16:01:08"
-16.9112442,-57.4805833,Anderson,"2015-01-02 17:00:06"
-16.8646447,-57.3933792,Caiman,"2015-01-02 17:00:14"
-16.8948778,-57.4061853,Fera,"2015-01-02 17:00:19"
-16.9826467,-57.3822892,Alice,"2015-01-02 17:00:25"
-16.8762089,-57.4378953,Dale,"2015-01-02 17:00:48"
-16.8947231,-57.4052278,Fera,"2015-01-02 18:00:12"
-16.86457,-57.3933408,Caiman,"2015-01-02 18:00:14"
-16.911075,-57.4805592,Anderson,"2015-01-02 18:00:16"
-16.982645,-57.3823353,Alice,"2015-01-02 18:00:18"
-16.9486069,-57.3855744,Picole,"2015-01-02 18:01:23"
-16.8645553,-57.3931322,Caiman,"2015-01-02 19:00:07"
-16.8949722,-57.4059469,Fera,"2015-01-02 19:00:18"
-16.9111706,-57.4805731,Anderson,"2015-01-02 19:00:22"
-16.9826306,-57.3823172,Alice,"2015-01-02 19:00:55"
-16.8762917,-57.4376472,Dale,"2015-01-02 19:03:02"
-16.9110764,-57.4805872,Anderson,"2015-01-02 20:00:12"
-16.8949053,-57.4058808,Fera,"2015-01-02 20:00:30"
-16.8646128,-57.3933269,Caiman,"2015-01-02 20:00:37"
